Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-45,5410,739,214,163,303,0,2264,13083,2830,1639,3926,0
00:05,-46,5442,746,215,165,305,0,2265,13066,2733,2083,3814,0
00:10,-46,5444,759,214,165,308,0,2265,12868,2662,2164,4045,0
00:15,-46,5398,750,214,165,309,0,2265,12714,2623,2130,4090,0
00:20,-46,5386,762,214,165,307,0,2264,12663,2592,1873,4229,0
00:25,-46,5360,752,213,164,308,0,2264,12544,2575,1592,4489,0
00:30,-46,5325,757,213,167,308,0,2265,12492,2584,1325,4688,0
00:35,-46,5296,758,213,165,309,0,2265,12485,2593,1231,4632,0
00:40,-46,5280,758,212,165,309,0,2264,12462,2601,1179,4560,0
00:45,-46,5269,758,212,165,308,0,2265,12400,2585,1061,4581,0
00:50,-46,5259,751,213,165,305,0,2265,12279,2569,1145,4485,0
00:55,-46,5257,754,215,165,306,0,2265,12198,2543,1147,4415,0
01:00,-46,5264,759,216,165,307,0,2264,12237,2503,1017,4403,0
01:05,-46,5268,759,217,166,305,0,2265,12369,2554,664,4577,0
01:10,-46,5299,757,216,165,305,0,2265,12475,2477,566,4496,0
01:15,-46,5263,754,216,165,305,0,2265,12355,2455,560,4537,0
01:20,-46,5222,754,216,164,304,0,2265,12214,2459,464,4613,0
01:25,-46,5235,754,215,165,304,0,2265,12092,2447,423,4597,0
01:30,-46,5240,753,214,164,304,0,2264,12063,2427,292,4615,0
01:35,-46,5218,752,216,165,302,0,2265,12096,2418,115,4596,0
01:40,-46,5183,752,216,165,303,0,2265,12016,2415,94,4568,0
01:45,-46,5173,752,217,165,303,0,2265,11935,2415,16,4566,0
01:50,-46,5169,753,217,164,303,0,2266,11835,2414,22,4472,0
01:55,-45,5208,753,217,164,304,0,2265,11704,2420,-23,4440,0
02:00,-45,5246,753,216,165,304,0,2266,11707,2388,-113,4340,0
02:05,-46,5247,744,216,166,300,0,2265,11803,2373,-268,4427,0
02:10,-46,5264,741,217,165,299,0,2264,11760,2355,-337,4476,0
02:15,-46,5274,742,216,165,298,0,2265,11697,2356,-399,4430,0
02:20,-46,5236,743,217,164,298,0,2265,11678,2361,-470,4412,0
02:25,-46,5228,742,217,164,298,0,2266,11656,2359,-589,4403,0
02:30,-46,5254,741,215,164,298,0,2265,11626,2345,-693,4400,0
02:35,-46,5261,741,216,164,298,0,2266,11560,2326,-661,4336,0
02:40,-46,5261,741,217,165,297,0,2265,11494,2328,-702,4336,0
02:45,-46,5253,741,216,165,298,0,2266,11418,2332,-679,4295,0
02:50,-46,5222,740,215,164,299,0,2266,11306,2329,-697,4404,0
02:55,-45,5208,740,216,164,300,0,2265,11170,2335,-726,4473,0
03:00,-45,5151,741,216,165,301,0,2266,11173,2340,-773,4475,0
03:05,-47,5090,744,218,164,300,0,2265,11154,2329,-510,4246,0
03:10,-47,5075,740,216,166,300,0,2265,11198,2306,-488,4191,0
03:15,-47,5052,744,215,165,299,0,2266,11267,2304,-509,4097,0
03:20,-47,5062,740,214,165,297,0,2265,11331,2305,-511,3929,0
03:25,-47,5086,741,215,165,297,0,2266,11339,2306,-566,3875,0
03:30,-47,5087,742,215,165,297,0,2265,11336,2309,-644,3858,0
03:35,-47,5088,742,215,165,299,0,2266,11256,2315,-636,3920,0
03:40,-46,5051,742,214,165,300,0,2266,11165,2315,-582,3949,0
03:45,-47,4960,742,213,165,299,0,2265,11134,2322,-573,3974,0
03:50,-47,4889,749,213,166,299,0,2265,11184,2318,-635,4021,0
03:55,-47,4853,753,212,165,299,0,2266,11222,2308,-653,4001,0
04:00,-46,4783,753,213,165,298,0,2265,11248,2313,-683,4064,0
04:05,-47,4692,754,214,165,299,0,2266,11206,2334,-647,4108,0
04:10,-47,4613,758,214,165,299,0,2265,11177,2330,-606,4162,0
04:15,-47,4558,759,215,165,301,0,2265,11192,2316,-557,4147,0
04:20,-48,4504,752,215,166,301,0,2265,11257,2305,-535,4119,0
04:25,-48,4488,752,215,166,300,0,2267,11339,2285,-638,4195,0
04:30,-48,4507,752,216,165,298,0,2267,11356,2283,-711,4214,0
04:35,-48,4542,752,215,166,297,0,2267,11375,2292,-777,4229,0
04:40,-48,4535,747,216,167,296,0,2266,11384,2296,-781,4230,0
04:45,-48,4510,730,215,166,298,0,2267,11386,2300,-737,4195,0
04:50,-48,4467,727,215,167,298,0,2266,11386,2303,-688,4199,0
04:55,-48,4416,725,215,167,298,0,2266,11394,2328,-566,4092,0
05:00,-48,4368,725,214,167,298,0,2266,11415,2391,-369,3917,0
05:05,-49,4302,725,216,167,299,0,2265,11509,2372,124,3504,0
05:10,-49,4212,725,215,167,301,0,2265,11562,2383,394,3382,0
05:15,-49,4053,726,215,167,302,0,2264,11591,2376,590,3346,0
05:20,-49,3905,737,215,166,302,0,2265,11630,2379,709,3343,0
05:25,-52,3763,750,215,166,302,0,2264,11704,2449,743,3350,0
05:30,-50,3658,747,215,166,302,0,2263,11756,2448,889,3295,0
